( Order ) Order ID,( Order Item ) Item ID,Tracking Number,Carrier Slug,Order Status
44870,9,AS079324439CN,dhl-logistics,completed
45246,16,AS079324442CN,dhl-logistics,completed
45248,22,AS079324456CN,dhl-logistics,completed
45255,45,AS079324460CN,dhl-logistics,completed
45256,47,AS079324473CN,dhl-logistics,completed
45257,50,AS079324561CN,dhl-logistics,completed
45257,51,AS079324561CN,dhl-logistics,completed
45257,52,AS079324561CN,dhl-logistics,completed
45264,75,AS079324487CN,dhl-logistics,completed
45265,78,AS079324575CN,dhl-logistics,completed
45265,79,AS079324575CN,dhl-logistics,completed
45268,89,AS079324495CN,dhl-logistics,completed
45269,92,AS079324589CN,dhl-logistics,completed
45269,93,AS079324589CN,dhl-logistics,completed
45271,96,AS079324500CN,dhl-logistics,completed
45274,117,AS079324527CN,dhl-logistics,completed
45278,130,AS079324592CN,dhl-logistics,completed
45279,133,AS079284981CN,dhl-logistics,completed
45282,138,AS079324535CN,dhl-logistics,completed
45284,144,AS079324544CN,dhl-logistics,completed
45289,162,AS079358066CN,dhl-logistics,completed
45292,172,AS079359424CN,dhl-logistics,completed
45293,174,AS079324558CN,dhl-logistics,completed
45295,183,AS079360453CN,dhl-logistics,completed
45298,192,AS079361723CN,dhl-logistics,completed
45304,211,AS079362539CN,dhl-logistics,completed
45305,214,AS079324632CN,dhl-logistics,completed
45306,217,AS079324283CN,dhl-logistics,completed
45307,220,AS079324297CN,dhl-logistics,completed
45307,221,AS079324297CN,dhl-logistics,completed
45307,222,AS079324297CN,dhl-logistics,completed
45313,235,AS079324306CN,dhl-logistics,completed
45321,243,AS079324310CN,dhl-logistics,completed
45325,246,AS079324323CN,dhl-logistics,completed
45326,249,AS079324371CN,dhl-logistics,completed
45327,258,AS079324385CN,dhl-logistics,completed
45327,259,AS079324385CN,dhl-logistics,completed
45327,260,AS079324385CN,dhl-logistics,completed
45327,261,AS079324385CN,dhl-logistics,completed
45330,270,AS079324399CN,dhl-logistics,completed
45331,272,AS079324408CN,dhl-logistics,completed
45342,275,AS079324411CN,dhl-logistics,completed
45346,278,AS079324425CN,dhl-logistics,completed
45346,279,AS079324425CN,dhl-logistics,completed
45409,285,AS079324337CN,dhl-logistics,completed
45410,292,AS079324345CN,dhl-logistics,completed
45410,293,AS079324345CN,dhl-logistics,completed
45413,296,AS079324354CN,dhl-logistics,completed
45417,309,AS079324368CN,dhl-logistics,completed
